user_id,interval_between_bookings,not_book_interval,rank
145255,NULL,248,C
145338,18,18,AA
145368,164,164,B
145459,NULL,79,B
145498,NULL,15,C
145816,35,35,B
145821,66,66,B
145862,0,0,B
146110,66,66,C
146296,13,13,B
146500,NULL,287,C
146506,NULL,176,C
146862,17,17,A
146864,NULL,184,C
147246,24,24,C
147285,NULL,183,C
147674,4,4,B
147678,NULL,68,C
147771,36,36,A
147798,NULL,274,C
148178,13,13,A
148330,63,63,B
148346,37,37,B
148445,1,1,AA
148485,NULL,153,C
148521,18,18,C
148626,NULL,82,C
148681,6,6,A
148878,NULL,336,C
148884,111,111,B
148978,28,28,AA
149176,160,160,B
149592,57,57,C
149643,40,40,C
149812,NULL,192,C
149862,NULL,168,C
149877,20,20,B
149895,NULL,176,C
149938,1,1,B
150033,0,0,C
150160,NULL,91,C
150193,1,1,A
150351,NULL,2,B
150419,NULL,333,C
150445,NULL,176,C
150545,56,56,A
150580,NULL,21,B
150755,46,46,B
150762,NULL,8,C
150793,23,23,B
150925,NULL,66,B
150943,NULL,66,C
150949,NULL,283,C
151008,NULL,15,C
151010,NULL,290,C
151019,NULL,87,C
151034,NULL,247,C
151118,NULL,52,B
151125,48,48,B
151218,10,10,B
